iter	Passed	Remaining
609	1238	792
610	1240	789
611	1242	787
612	1244	785
613	1247	784
614	1251	783
615	1254	781
616	1255	779
617	1258	777
618	1260	775
619	1262	773
620	1264	771
621	1267	770
622	1269	768
623	1272	766
624	1273	764
625	1275	762
626	1278	760
627	1281	758
628	1283	756
629	1285	754
630	1288	753
631	1291	752
632	1294	750
633	1296	748
634	1298	746
635	1300	744
636	1301	741
637	1303	739
638	1305	737
639	1308	735
640	1310	733
641	1312	731
642	1314	729
643	1316	727
644	1319	726
645	1321	724
646	1324	722
647	1326	720
648	1327	718
649	1329	715
650	1331	713
651	1333	711
652	1336	710
653	1338	708
654	1340	706
655	1342	703
656	1343	701
657	1345	699
658	1348	697
659	1351	696
660	1353	694
661	1355	691
662	1356	689
663	1358	687
664	1360	685
665	1367	685
666	1369	683
667	1371	681
668	1373	679
669	1375	677
670	1378	676
671	1382	674
672	1384	672
673	1386	670
674	1388	668
675	1390	666
676	1392	664
677	1395	662
678	1397	660
679	1399	658
680	1400	656
681	1402	653
682	1404	651
683	1406	649
684	1411	648
685	1412	646
686	1414	644
687	1416	642
688	1418	640
689	1423	639
690	1426	637
691	1428	635
692	1430	633
693	1432	631
694	1434	629
695	1436	627
696	1439	625
697	1441	623
698	1443	621
699	1445	619
700	1447	617
701	1449	615
702	1452	613
703	1455	611
704	1457	609
705	1458	607
706	1460	605
707	1462	603
708	1464	601
709	1467	599
710	1469	597
711	1471	595
712	1473	593
713	1475	591
714	1478	589
715	1481	587
716	1484	585
717	1486	583
718	1488	581
719	1490	579
720	1496	579
721	1498	577
722	1500	574
723	1502	572
724	1504	570
725	1506	568
726	1509	566
727	1511	564
728	1513	562
729	1515	560
730	1517	558
731	1519	556
732	1521	554
733	1524	552
734	1527	550
735	1529	548
736	1531	546
737	1533	544
738	1534	542
739	1536	539
740	1539	538
741	1541	536
742	1544	534
743	1546	531
744	1548	529
745	1549	527
746	1551	525
747	1554	523
748	1556	521
749	1557	519
750	1559	517
751	1561	514
752	1562	512
753	1564	510
754	1568	508
755	1570	506
756	1571	504
757	1573	502
758	1574	499
759	1576	497
760	1577	495
761	1579	493
762	1583	491
763	1584	489
764	1586	487
765	1588	485
766	1589	482
767	1591	480
768	1592	478
769	1595	476
770	1598	474
771	1600	472
772	1602	470
773	1604	468
774	1606	466
775	1608	464
776	1611	462
777	1613	460
778	1615	458
779	1617	456
780	1618	453
781	1620	451
782	1622	449
783	1625	447
784	1626	445
785	1628	443
786	1630	441
787	1631	439
788	1633	436
789	1635	434
790	1636	432
791	1638	430
792	1641	428
793	1642	426
794	1644	424
795	1646	421
796	1647	419
797	1649	417
798	1650	415
799	1653	413
800	1655	411
801	1657	409
802	1658	406
803	1660	404
804	1662	402
805	1663	400
806	1665	398
807	1667	396
808	1669	394
809	1671	392
810	1673	389
811	1674	387
812	1676	385
813	1678	383
814	1680	381
815	1682	379
816	1684	377
817	1686	375
818	1688	373
819	1690	370
820	1691	368
821	1693	366
822	1694	364
823	1697	362
824	1699	360
825	1701	358
826	1702	356
827	1704	354
828	1706	352
829	1708	350
830	1710	347
831	1712	345
832	1714	343
833	1716	341
834	1718	339
835	1719	337
836	1721	335
837	1723	333
838	1724	330
839	1727	329
840	1729	326
841	1731	324
842	1732	322
843	1734	320
844	1736	318
845	1738	316
846	1740	314
847	1742	312
848	1743	310
849	1745	308
850	1747	305
851	1749	303
852	1750	301
853	1752	299
854	1753	297
855	1755	295
856	1757	293
857	1758	291
858	1760	288
859	1762	286
860	1764	284
861	1765	282
862	1767	280
863	1771	278
864	1772	276
865	1774	274
866	1776	272
867	1777	270
868	1779	268
869	1780	266
870	1782	263
871	1784	261
872	1786	259
873	1787	257
874	1789	255
875	1790	253
876	1792	251
877	1794	249
878	1795	247
879	1797	245
880	1800	243
881	1802	241
882	1804	239
883	1805	236
884	1807	234
885	1809	232
886	1811	230
887	1813	228
888	1815	226
889	1817	224
890	1819	222
891	1820	220
892	1822	218
893	1824	216
894	1825	214
895	1828	212
896	1830	210
897	1832	208
898	1834	206
899	1835	203
900	1837	201
901	1838	199
902	1840	197
903	1842	195
904	1844	193
905	1846	191
906	1847	189
907	1849	187
908	1850	185
909	1852	183
910	1854	181
911	1857	179
912	1859	177
913	1860	175
914	1862	173
915	1864	170
916	1865	168
917	1867	166
918	1869	164
919	1871	162
920	1873	160
921	1875	158
922	1877	156
923	1878	154
924	1880	152
925	1881	150
926	1883	148
927	1885	146
928	1887	144
929	1889	142
930	1890	140
931	1892	138
932	1893	136
933	1895	133
934	1897	131
935	1898	129
936	1901	127
937	1903	125
938	1905	123
939	1907	121
940	1908	119
941	1910	117
942	1911	115
943	1913	113
944	1915	111
945	1917	109
946	1920	107
947	1922	105
948	1924	103
949	1925	101
950	1927	99
951	1928	97
952	1932	95
953	1934	93
954	1935	91
955	1937	89
956	1939	87
957	1940	85
958	1942	83
959	1944	81
960	1946	78
961	1948	76
962	1950	74
963	1951	72
964	1953	70
965	1955	68
966	1956	66
967	1959	64
968	1961	62
969	1963	60
970	1964	58
971	1966	56
972	1968	54
973	1969	52
974	1971	50
975	1973	48
976	1975	46
977	1977	44
978	1979	42
979	1981	40
980	1982	38
981	1984	36
982	1986	34
983	1989	32
984	1991	30
985	1993	28
986	1995	26
987	1997	24
988	1999	22
989	2000	20
990	2002	18
991	2005	16
992	2006	14
993	2008	12
994	2010	10
995	2012	8
996	2013	6
997	2015	4
998	2018	2
999	2021	0
